unique_vehicle_key,scenario_key,lead_time_days,duration_days,collection_date,pickup_date,dropoff_date,pickup_time,dropoff_time,supplier,car_name,category,pickup_location,dropoff_location,price_per_day_aed,total_price_aed,mileage,source_currency,supplier_rating,rating_text,number_of_reviews,condition_rating,location_rating,cleanliness_rating,efficiency_rating,value_for_money_rating,pickup_time_rating,dropoff_time_rating
769347656_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Coolray,Intermediate,Dubai International Airport,Dubai International Airport,85.12,85.12,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
769348001_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Coolray,Intermediate,Dubai Airport T3,Dubai Airport T3,85.12,85.12,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
769348186_Budget_Sharjah - Industrial Area,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Emgrand,Compact,Sharjah - Industrial Area,Sharjah - Industrial Area,77.54,77.54,Unlimited km,USD,9.4,Superb,2,10.0,10.0,10.0,10.0,10.0,8.0,8.0
769347626_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Emgrand,Compact,Dubai International Airport,Dubai International Airport,71.87,71.87,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
769347976_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Emgrand,Compact,Dubai Airport T3,Dubai Airport T3,71.87,71.87,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
769347711_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Kia Picanto,Mini,Dubai International Airport,Dubai International Airport,66.2,66.2,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
769348021_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Kia Picanto,Mini,Dubai Airport T3,Dubai Airport T3,66.2,66.2,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
769346356_Budget_Dubai - Al Garhoud,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Coolray,Intermediate,Dubai - Al Garhoud,Dubai - Al Garhoud,85.12,85.12,Unlimited km,USD,5.2,,24,6.0,5.0,6.9,5.1,4.7,3.9,4.7
769347631_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Toyota Corolla,Compact,Dubai International Airport,Dubai International Airport,79.45,79.45,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
769347981_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Toyota Corolla,Compact,Dubai Airport T3,Dubai Airport T3,79.45,79.45,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
